genre_id,movie_id
1,1022789
2,1022789
3,1022789
4,1022789
5,1022789
6,653346
4,653346
7,653346
7,573435
8,573435
9,573435
5,573435
9,1001311
10,1001311
7,1001311
11,1001311
6,823464
7,823464
4,823464
7,955555
8,955555
5,955555
9,955555
12,929590
7,929590
3,929590
6,626412
7,626412
13,626412
4,626412
1,150540
2,150540
4,150540
3,150540
5,150540
14,974635
5,974635
8,974635
10,719221
9,719221
6,614933
7,614933
7,746036
5,746036
9,38700
7,38700
8,38700
6,1025463
7,1025463
4,1025463
1,1011985
7,1011985
2,1011985
5,1011985
13,1011985
7,786892
4,786892
6,786892
1,1263421
7,1263421
12,1136318
10,437342
