user_id,variant,impression,click,purchase,revenue,country,device
100001,1,2,0.0,0.0,0.0,UK,tablet
100002,1,2,0.0,0.0,0.0,UK,mobile
100003,0,2,0.0,0.0,0.0,ES,mobile
100004,0,2,1.0,0.0,0.0,FR,mobile
100005,1,2,0.0,0.0,0.0,UK,mobile
100006,1,1,1.0,0.0,0.0,FR,desktop
100007,0,1,0.0,0.0,0.0,UK,desktop
100008,0,3,0.0,0.0,0.0,FR,desktop
100009,1,3,1.0,1.0,40981.61,UK,mobile
100010,1,2,1.0,0.0,0.0,UK,mobile
100011,1,2,1.0,0.0,0.0,UK,mobile
100012,0,2,1.0,0.0,0.0,ES,desktop
100013,1,1,0.0,0.0,0.0,DE,mobile
100014,1,3,1.0,0.0,0.0,UK,mobile
100015,1,2,0.0,0.0,0.0,UK,mobile
100016,0,1,1.0,0.0,0.0,DE,desktop
100017,1,1,0.0,0.0,0.0,UK,mobile
100018,0,2,0.0,0.0,0.0,UK,mobile
100019,1,1,1.0,0.0,0.0,ES,mobile
100020,0,2,1.0,0.0,0.0,UK,desktop
100021,1,1,0.0,0.0,0.0,DE,mobile
100022,1,2,1.0,1.0,11877.95,ES,tablet
100023,0,2,1.0,0.0,0.0,UK,mobile
100024,1,1,0.0,0.0,0.0,UK,tablet
100025,0,2,0.0,0.0,0.0,UK,desktop
100026,1,3,1.0,1.0,42858.23,DE,mobile
100027,1,1,0.0,0.0,0.0,ES,desktop
100028,0,3,0.0,0.0,0.0,DE,mobile
100029,1,2,1.0,0.0,0.0,UK,tablet
100030,0,2,0.0,0.0,0.0,DE,desktop
100031,0,1,1.0,1.0,29438.34,ES,mobile
100032,0,1,0.0,0.0,0.0,FR,desktop
100033,1,2,1.0,0.0,0.0,ES,tablet
100034,0,2,1.0,0.0,0.0,DE,mobile
100035,1,1,0.0,0.0,0.0,DE,mobile
100036,0,2,0.0,0.0,0.0,FR,desktop
100037,1,3,1.0,1.0,22770.22,UK,desktop
100038,0,1,0.0,0.0,0.0,UK,mobile
100039,1,1,0.0,0.0,0.0,FR,mobile
100040,0,3,0.0,0.0,0.0,UK,mobile
100041,1,1,1.0,0.0,0.0,ES,mobile
100042,1,1,0.0,0.0,0.0,ES,mobile
100043,0,1,0.0,0.0,0.0,DE,tablet
100044,0,1,0.0,0.0,0.0,UK,mobile
100045,1,1,0.0,0.0,0.0,UK,desktop
100046,1,2,1.0,0.0,0.0,UK,mobile
100047,0,2,0.0,0.0,0.0,DE,mobile
100048,0,2,0.0,0.0,0.0,DE,mobile
100049,0,2,0.0,0.0,0.0,ES,mobile
100050,1,1,0.0,0.0,0.0,UK,desktop
100051,1,1,0.0,0.0,0.0,ES,desktop
100052,1,1,0.0,0.0,0.0,ES,desktop
100053,0,2,0.0,0.0,0.0,UK,tablet
100054,0,1,0.0,0.0,0.0,ES,desktop
100055,1,2,1.0,1.0,47897.68,UK,mobile
100056,0,2,0.0,0.0,0.0,UK,desktop
100057,1,1,0.0,0.0,0.0,FR,desktop
100058,0,2,0.0,0.0,0.0,UK,mobile
100059,0,1,0.0,0.0,0.0,FR,desktop
100060,1,2,0.0,0.0,0.0,FR,mobile
100061,0,1,0.0,0.0,0.0,FR,mobile
100062,0,1,0.0,0.0,0.0,UK,desktop
100063,0,2,1.0,0.0,0.0,FR,mobile
100064,0,1,0.0,0.0,0.0,FR,mobile
100065,1,2,1.0,0.0,0.0,FR,desktop
100066,0,1,0.0,0.0,0.0,UK,mobile
100067,1,1,0.0,0.0,0.0,UK,mobile
100068,0,2,1.0,0.0,0.0,FR,desktop
100069,1,3,0.0,0.0,0.0,UK,mobile
100070,1,1,0.0,0.0,0.0,FR,mobile
100071,1,3,1.0,0.0,0.0,DE,tablet
100072,1,3,1.0,0.0,0.0,FR,desktop
100073,1,2,0.0,0.0,0.0,FR,mobile
100074,1,2,0.0,0.0,0.0,ES,desktop
100075,1,1,0.0,0.0,0.0,DE,desktop
100076,1,3,1.0,0.0,0.0,ES,mobile
100077,1,2,0.0,0.0,0.0,DE,mobile
100078,0,2,1.0,0.0,0.0,UK,mobile
100079,0,1,0.0,0.0,0.0,UK,desktop
100080,1,1,0.0,0.0,0.0,FR,mobile
100081,0,1,0.0,0.0,0.0,UK,mobile
100082,1,3,0.0,0.0,0.0,FR,tablet
100083,1,1,0.0,0.0,0.0,UK,desktop
100084,0,2,1.0,0.0,0.0,FR,mobile
100085,0,2,0.0,0.0,0.0,DE,mobile
100086,1,1,0.0,0.0,0.0,DE,mobile
100087,0,1,1.0,0.0,0.0,FR,mobile
100088,0,1,0.0,0.0,0.0,DE,desktop
100089,1,1,0.0,0.0,0.0,UK,desktop
100090,0,2,1.0,0.0,0.0,ES,mobile
100091,0,1,0.0,0.0,0.0,UK,mobile
100092,1,1,0.0,0.0,0.0,ES,desktop
100093,0,3,3.0,1.0,37782.56,DE,mobile
100094,1,1,0.0,0.0,0.0,UK,mobile
100095,1,2,0.0,0.0,0.0,UK,mobile
100096,0,3,2.0,1.0,30507.16,FR,mobile
100097,1,1,1.0,0.0,0.0,UK,tablet
100098,0,3,0.0,0.0,0.0,UK,mobile
100099,0,1,0.0,0.0,0.0,FR,mobile
100100,0,1,0.0,0.0,0.0,FR,mobile
