variant,country,device,users,impression,click,purchase,revenue,CTR,Conversion,Revenue_per_user
0,DE,desktop,81,125,18,1,36077.91,0.144,0.008,445.4062962962963
0,DE,mobile,128,212,39,9,261965.55,0.18396226415094338,0.04245283018867924,2046.605859375
0,DE,tablet,20,33,7,3,89288.56,0.21212121212121213,0.09090909090909091,4464.428
0,ES,desktop,36,64,10,1,16594.3,0.15625,0.015625,460.9527777777778
0,ES,mobile,94,158,30,6,166486.76,0.189873417721519,0.0379746835443038,1771.135744680851
0,ES,tablet,6,11,4,0,0.0,0.36363636363636365,0.0,0.0
0,FR,desktop,55,91,16,1,27810.96,0.17582417582417584,0.01098901098901099,505.65381818181817
0,FR,mobile,130,215,45,12,437100.16000000003,0.20930232558139536,0.05581395348837209,3362.3089230769233
0,FR,tablet,14,25,5,3,89384.6,0.2,0.12,6384.614285714286
0,UK,desktop,128,208,35,5,168372.21,0.16826923076923078,0.02403846153846154,1315.407890625
0,UK,mobile,281,483,84,22,718188.6,0.17391304347826086,0.045548654244306416,2555.8313167259785
0,UK,tablet,31,54,10,2,78805.89,0.18518518518518517,0.037037037037037035,2542.125483870968
1,DE,desktop,58,105,11,2,40177.92,0.10476190476190476,0.01904761904761905,692.7227586206897
1,DE,mobile,123,208,31,9,416214.99,0.14903846153846154,0.04326923076923077,3383.861707317073
1,DE,tablet,13,25,3,1,41236.35,0.12,0.04,3172.026923076923
1,ES,desktop,40,64,9,3,103538.86,0.140625,0.046875,2588.4715
1,ES,mobile,96,152,31,12,427853.5,0.20394736842105263,0.07894736842105263,4456.807291666667
1,ES,tablet,14,23,3,1,11877.95,0.13043478260869565,0.043478260869565216,848.4250000000001
1,FR,desktop,69,118,21,4,169898.46,0.17796610169491525,0.03389830508474576,2462.29652173913
1,FR,mobile,133,230,45,19,731081.65,0.1956521739130435,0.08260869565217391,5496.854511278196
1,FR,tablet,15,30,4,0,0.0,0.13333333333333333,0.0,0.0
1,UK,desktop,130,228,36,10,270021.08999999997,0.15789473684210525,0.043859649122807015,2077.0853076923077
1,UK,mobile,272,460,94,29,1025892.97,0.20434782608695654,0.06304347826086956,3771.665330882353
1,UK,tablet,33,56,14,5,152240.43,0.25,0.08928571428571429,4613.346363636363
