variant,country,device,metric,value
0,DE,desktop,CTR,0.152
0,DE,mobile,CTR,0.20754716981132076
0,DE,tablet,CTR,0.21212121212121213
0,ES,desktop,CTR,0.1875
0,ES,mobile,CTR,0.1962025316455696
0,ES,tablet,CTR,0.45454545454545453
0,FR,desktop,CTR,0.17582417582417584
0,FR,mobile,CTR,0.2186046511627907
0,FR,tablet,CTR,0.2
0,UK,desktop,CTR,0.18269230769230768
0,UK,mobile,CTR,0.18840579710144928
0,UK,tablet,CTR,0.2037037037037037
1,DE,desktop,CTR,0.11428571428571428
1,DE,mobile,CTR,0.17307692307692307
1,DE,tablet,CTR,0.12
1,ES,desktop,CTR,0.140625
1,ES,mobile,CTR,0.21052631578947367
1,ES,tablet,CTR,0.17391304347826086
1,FR,desktop,CTR,0.19491525423728814
1,FR,mobile,CTR,0.23043478260869565
1,FR,tablet,CTR,0.13333333333333333
1,UK,desktop,CTR,0.17982456140350878
1,UK,mobile,CTR,0.22826086956521738
1,UK,tablet,CTR,0.26785714285714285
0,DE,desktop,Conversion,0.008
0,DE,mobile,Conversion,0.04245283018867924
0,DE,tablet,Conversion,0.09090909090909091
0,ES,desktop,Conversion,0.015625
0,ES,mobile,Conversion,0.0379746835443038
0,ES,tablet,Conversion,0.0
0,FR,desktop,Conversion,0.01098901098901099
0,FR,mobile,Conversion,0.05581395348837209
0,FR,tablet,Conversion,0.12
0,UK,desktop,Conversion,0.02403846153846154
0,UK,mobile,Conversion,0.047619047619047616
0,UK,tablet,Conversion,0.037037037037037035
1,DE,desktop,Conversion,0.01904761904761905
1,DE,mobile,Conversion,0.04807692307692308
1,DE,tablet,Conversion,0.04
1,ES,desktop,Conversion,0.046875
1,ES,mobile,Conversion,0.07894736842105263
1,ES,tablet,Conversion,0.043478260869565216
1,FR,desktop,Conversion,0.03389830508474576
1,FR,mobile,Conversion,0.08695652173913043
1,FR,tablet,Conversion,0.0
1,UK,desktop,Conversion,0.043859649122807015
1,UK,mobile,Conversion,0.06739130434782609
1,UK,tablet,Conversion,0.08928571428571429
0,DE,desktop,ARPU,445.4062962962963
0,DE,mobile,ARPU,2046.605859375
0,DE,tablet,ARPU,4464.428
0,ES,desktop,ARPU,460.9527777777778
0,ES,mobile,ARPU,1771.135744680851
0,ES,tablet,ARPU,0.0
0,FR,desktop,ARPU,505.65381818181817
0,FR,mobile,ARPU,3362.308923076923
0,FR,tablet,ARPU,6384.614285714286
0,UK,desktop,ARPU,1315.407890625
0,UK,mobile,ARPU,2555.8313167259785
0,UK,tablet,ARPU,2542.125483870968
1,DE,desktop,ARPU,692.7227586206897
1,DE,mobile,ARPU,3383.861707317073
1,DE,tablet,ARPU,3172.026923076923
1,ES,desktop,ARPU,2588.4715
1,ES,mobile,ARPU,4456.807291666667
1,ES,tablet,ARPU,848.4250000000001
1,FR,desktop,ARPU,2462.29652173913
1,FR,mobile,ARPU,5496.854511278196
1,FR,tablet,ARPU,0.0
1,UK,desktop,ARPU,2077.085307692308
1,UK,mobile,ARPU,3771.665330882353
1,UK,tablet,ARPU,4613.346363636363
