user_id,impression,purchase,revenue,converted
12346,1,5,77183.6,True
12348,4,2,1797.24,True
12352,8,1,2506.04,True
12359,4,2,6372.58,True
12360,3,1,2662.06,True
12362,10,2,5226.23,True
12372,3,1,1298.04,True
12378,1,3,4008.62,True
12379,2,1,852.24,True
12383,5,2,1850.56,True
12388,6,1,2780.66,True
12403,1,1,427.7,True
12408,5,1,2888.55,True
12414,3,1,562.41,True
12426,1,1,582.73,True
12430,1,1,256.4,True
12431,15,3,6487.45,True
12447,1,1,476.49,True
12448,1,1,449.45,True
12449,4,2,4067.29,True
12452,2,1,430.57,True
12454,1,1,3528.34,True
12458,2,1,947.4,True
12462,2,1,1189.59,True
12476,11,2,6816.42,True
12477,6,4,13219.74,True
12478,1,1,680.99,True
12479,1,1,527.2,True
12480,4,2,3281.63,True
12490,10,3,5417.93,True
12497,1,1,1043.1,True
12500,11,3,4257.82,True
12502,5,1,3723.87,True
12504,2,1,482.05,True
12509,1,1,176.5,True
12512,2,1,138.03,True
12513,1,1,612.29,True
12517,5,1,2502.84,True
12527,3,1,348.71000000000004,True
12538,1,1,363.95,True
12541,3,1,981.18,True
12544,1,1,372.7,True
12553,10,2,3692.28,True
12561,1,1,238.85,True
12581,1,1,197.71,True
12596,2,1,618.27,True
12603,1,1,739.1999999999999,True
12615,4,1,2291.19,True
12623,1,1,305.1,True
12624,2,1,641.13,True
12625,2,2,2683.82,True
12628,3,1,786.46,True
12640,3,1,1174.58,True
12643,6,2,3344.64,True
12651,1,1,114.0,True
12662,11,2,3849.78,True
12665,1,1,63.0,True
12668,4,2,3807.15,True
12672,1,1,225.9,True
12674,4,1,1970.6,True
12678,12,5,17628.46,True
12688,1,3,4873.81,True
12690,1,1,389.01,True
12709,15,4,9736.52,True
12713,1,1,848.55,True
12716,2,1,1053.49,True
12717,2,1,1030.98,True
12720,25,5,5781.73,True
12722,4,1,997.63,True
12723,5,1,725.07,True
12727,7,2,3980.7,True
12729,1,1,453.01,True
12740,1,1,427.6,True
12754,3,5,3010.74,True
12757,13,2,7857.1,True
12758,2,2,2791.59,True
12763,2,1,494.08,True
12772,1,1,892.47,True
12775,5,1,1386.04,True
12781,2,1,826.74,True
12783,6,1,2225.91,True
12784,2,1,574.42,True
12785,1,1,311.95,True
12790,1,1,324.92,True
12794,2,1,860.41,True
12798,3,5,6977.04,True
12808,3,1,483.65,True
12817,1,1,166.04,True
12821,1,1,92.72,True
12828,6,1,1018.71,True
12837,1,1,134.1,True
12840,4,2,2726.77,True
12851,1,1,135.18,True
12854,3,1,1324.5,True
12856,6,1,2179.93,True
12863,1,1,521.2,True
12864,1,1,147.12,True
12865,2,1,1568.23,True
12873,1,1,374.0,True
12881,1,1,298.0,True
12882,2,1,1463.04,True
12929,1,1,117.85,True
12936,4,1,1063.9,True
12947,6,1,1603.99,True
12951,6,1,1064.07,True
12953,1,1,329.85,True
12956,1,1,108.07,True
12957,8,3,4017.54,True
12966,1,1,160.18,True
12970,4,1,452.24,True
12976,1,1,738.6,True
12989,15,3,6924.110000000001,True
12994,3,1,974.42,True
12995,1,1,211.32,True
12997,4,1,1226.89,True
13002,1,1,120.95,True
13014,10,1,3466.28,True
13016,3,1,789.89,True
13028,2,1,661.3199999999999,True
13030,2,1,799.48,True
13033,1,1,190.55,True
13034,2,1,642.77,True
13035,2,1,921.88,True
13048,4,1,1835.91,True
13052,1,1,348.15000000000003,True
13055,3,1,1214.41,True
13061,1,1,248.61,True
13064,4,1,1119.49,True
13068,2,1,344.0,True
13078,26,5,12627.94,True
13082,9,4,3613.63,True
13083,2,1,303.75,True
13090,14,2,8910.82,True
13092,5,1,477.83,True
13094,12,2,1927.32,True
13108,1,1,350.06,True
13116,1,1,501.14,True
13124,3,2,3866.33,True
