variant,country,device,users,impression,click,purchase,revenue,CTR,Conversion,Revenue_per_user
0,DE,desktop,81,125,19.0,1.0,36077.91,0.152,0.008,445.4062962962963
0,DE,mobile,128,212,44.0,9.0,261965.55,0.20754716981132076,0.04245283018867924,2046.605859375
0,DE,tablet,20,33,7.0,3.0,89288.56,0.21212121212121213,0.09090909090909091,4464.428
0,ES,desktop,36,64,12.0,1.0,16594.3,0.1875,0.015625,460.9527777777778
0,ES,mobile,94,158,31.0,6.0,166486.76,0.1962025316455696,0.0379746835443038,1771.135744680851
0,ES,tablet,6,11,5.0,0.0,0.0,0.45454545454545453,0.0,0.0
0,FR,desktop,55,91,16.0,1.0,27810.96,0.17582417582417584,0.01098901098901099,505.65381818181817
0,FR,mobile,130,215,47.0,12.0,437100.16000000003,0.2186046511627907,0.05581395348837209,3362.3089230769233
0,FR,tablet,14,25,5.0,3.0,89384.6,0.2,0.12,6384.614285714286
0,UK,desktop,128,208,38.0,5.0,168372.21,0.18269230769230768,0.02403846153846154,1315.407890625
0,UK,mobile,281,483,91.0,23.0,718188.6,0.18840579710144928,0.047619047619047616,2555.8313167259785
0,UK,tablet,31,54,11.0,2.0,78805.89,0.2037037037037037,0.037037037037037035,2542.125483870968
1,DE,desktop,58,105,12.0,2.0,40177.92,0.11428571428571428,0.01904761904761905,692.7227586206897
1,DE,mobile,123,208,36.0,10.0,416214.99,0.17307692307692307,0.04807692307692308,3383.861707317073
1,DE,tablet,13,25,3.0,1.0,41236.35,0.12,0.04,3172.026923076923
1,ES,desktop,40,64,9.0,3.0,103538.86,0.140625,0.046875,2588.4715
1,ES,mobile,96,152,32.0,12.0,427853.5,0.21052631578947367,0.07894736842105263,4456.807291666667
1,ES,tablet,14,23,4.0,1.0,11877.95,0.17391304347826086,0.043478260869565216,848.4250000000001
1,FR,desktop,69,118,23.0,4.0,169898.46,0.19491525423728814,0.03389830508474576,2462.29652173913
1,FR,mobile,133,230,53.0,20.0,731081.65,0.23043478260869565,0.08695652173913043,5496.854511278196
1,FR,tablet,15,30,4.0,0.0,0.0,0.13333333333333333,0.0,0.0
1,UK,desktop,130,228,41.0,10.0,270021.08999999997,0.17982456140350878,0.043859649122807015,2077.0853076923077
1,UK,mobile,272,460,105.0,31.0,1025892.97,0.22826086956521738,0.06739130434782609,3771.665330882353
1,UK,tablet,33,56,15.0,5.0,152240.43,0.26785714285714285,0.08928571428571429,4613.346363636363
