date,variant,impression,user_id_x,session_id,event_time_x,page,event_id_x,user_id_y,click,event_time_y,event_type_x,order_id_x,amount,event_id_y,user_id,purchase,event_time,event_type_y,order_id_y,revenue,CTR,Conversion
2025-07-01,0,57,57,57,57,57,9,9,9,9,9,0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15789473684210525,0.017543859649122806
2025-07-01,1,41,41,41,41,41,12,12,12,12,12,0,12,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.2926829268292683,0.07317073170731707
2025-07-02,0,137,137,137,137,137,24,24,24,24,24,0,24,,,0.0,,,,0.0,0.17518248175182483,0.0
2025-07-02,1,88,88,88,88,88,21,21,21,21,21,0,21,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.23863636363636365,0.06818181818181818
2025-07-03,0,120,120,120,120,120,28,28,28,28,28,0,28,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.23333333333333334,0.06666666666666667
2025-07-03,1,128,128,128,128,128,23,23,23,23,23,0,23,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.1796875,0.1015625
2025-07-04,0,116,116,116,116,116,16,16,16,16,16,0,16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.13793103448275862,0.02586206896551724
2025-07-04,1,109,109,109,109,109,30,30,30,30,30,0,30,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.27522935779816515,0.03669724770642202
2025-07-05,0,150,150,150,150,150,19,19,19,19,19,0,19,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.12666666666666668,0.02
2025-07-05,1,116,116,116,116,116,23,23,23,23,23,0,23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.19827586206896552,0.04310344827586207
2025-07-06,0,117,117,117,117,117,26,26,26,26,26,0,26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.2222222222222222,0.05982905982905983
2025-07-06,1,116,116,116,116,116,21,21,21,21,21,0,21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1810344827586207,0.04310344827586207
2025-07-07,0,128,128,128,128,128,29,29,29,29,29,0,29,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.2265625,0.046875
2025-07-07,1,130,130,130,130,130,35,35,35,35,35,0,35,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.2692307692307692,0.06923076923076923
2025-07-08,0,116,116,116,116,116,22,22,22,22,22,0,22,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.1896551724137931,0.02586206896551724
2025-07-08,1,135,135,135,135,135,30,30,30,30,30,0,30,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.2222222222222222,0.05185185185185185
2025-07-09,0,105,105,105,105,105,19,19,19,19,19,0,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.18095238095238095,0.0380952380952381
2025-07-09,1,93,93,93,93,93,9,9,9,9,9,0,9,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0967741935483871,0.08602150537634409
2025-07-10,0,115,115,115,115,115,29,29,29,29,29,0,29,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.25217391304347825,0.06956521739130435
2025-07-10,1,121,121,121,121,121,23,23,23,23,23,0,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.19008264462809918,0.049586776859504134
2025-07-11,0,95,95,95,95,95,19,19,19,19,19,0,19,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.2,0.07368421052631578
2025-07-11,1,122,122,122,122,122,24,24,24,24,24,0,24,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.19672131147540983,0.03278688524590164
2025-07-12,0,104,104,104,104,104,22,22,22,22,22,0,22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.21153846153846154,0.04807692307692308
2025-07-12,1,155,155,155,155,155,20,20,20,20,20,0,20,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.12903225806451613,0.05161290322580645
2025-07-13,0,139,139,139,139,139,36,36,36,36,36,0,36,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.2589928057553957,0.03597122302158273
2025-07-13,1,151,151,151,151,151,29,29,29,29,29,0,29,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.19205298013245034,0.059602649006622516
2025-07-14,0,105,105,105,105,105,17,17,17,17,17,0,17,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.1619047619047619,0.02857142857142857
2025-07-14,1,140,140,140,140,140,27,27,27,27,27,0,27,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.19285714285714287,0.05
2025-07-15,0,75,75,75,75,75,11,11,11,11,11,0,11,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.14666666666666667,0.04
2025-07-15,1,54,54,54,54,54,10,10,10,10,10,0,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.18518518518518517,0.09259259259259259
