035420,semiconductor,224263.05,81,2026-01-21
035420,biotech,198194.79,340,2026-03-24
005930,internet,69555.27,779,2026-04-12
000660,biotech,50739.83,965,2026-01-01
068270,biotech,548518.61,757,2026-01-17
035420,internet,429867.92,485,2026-04-16
035420,biotech,136076.11,967,2026-03-12
035420,semiconductor,94127.89,828,2026-03-21
005930,internet,62601.71,610,2026-04-14
000660,biotech,339383.08,574,2026-02-20
068270,internet,699100.34,437,2026-01-08
035420,internet,913854.38,941,2026-02-08
068270,biotech,453898.08,575,2026-02-04
000660,semiconductor,971105.4,739,2026-04-02
000660,biotech,930325.92,872,2026-04-15
068270,biotech,236183.72,711,2026-04-21
068270,semiconductor,307781.58,62,2026-04-26
005930,semiconductor,183878.01,24,2026-01-01
005930,internet,452231.41,138,2026-04-08
068270,internet,824688.36,602,2026-04-03
035420,semiconductor,625661.98,499,2026-03-26
005930,internet,857536.65,789,2026-02-01
068270,internet,345433.21,737,2026-01-03
068270,biotech,892852.11,970,2026-03-05
035420,biotech,856468.13,14,2026-02-23
035420,biotech,519105.82,402,2026-03-15
000660,biotech,467369.68,700,2026-03-07
005930,semiconductor,533142.16,743,2026-01-23
035420,semiconductor,562849.04,550,2026-04-13
068270,internet,325263.88,95,2026-04-02
000660,semiconductor,330852.0,655,2026-04-28
068270,biotech,889116.25,649,2026-02-23
068270,semiconductor,352103.3,234,2026-01-25
035420,biotech,50494.36,982,2026-01-03
035420,biotech,535209.94,658,2026-02-05
005930,internet,305941.72,673,2026-03-27
000660,semiconductor,433644.36,839,2026-01-26
068270,biotech,711489.06,396,2026-01-05
005930,semiconductor,303441.96,11,2026-02-28
000660,internet,314714.14,234,2026-01-19
000660,biotech,554387.85,739,2026-04-06
068270,internet,688528.77,212,2026-04-27
005930,internet,812982.77,846,2026-04-02
000660,biotech,558985.95,761,2026-04-01
005930,internet,227192.58,358,2026-03-20
068270,internet,259229.0,355,2026-03-19
068270,internet,215648.11,938,2026-04-07
000660,semiconductor,691905.61,962,2026-01-18
035420,internet,883472.39,620,2026-03-28
068270,biotech,983059.93,581,2026-01-02
005930,biotech,902354.97,46,2026-04-27
035420,semiconductor,314927.78,668,2026-04-16
035420,biotech,790881.77,929,2026-04-11
005930,biotech,685538.84,263,2026-03-16
000660,semiconductor,680326.68,870,2026-02-14
000660,biotech,707300.44,729,2026-01-09
068270,semiconductor,67171.6,407,2026-01-16
068270,internet,734892.93,649,2026-01-16
068270,internet,399330.01,384,2026-02-14
000660,biotech,979948.22,572,2026-02-08
035420,internet,805070.74,807,2026-01-28
035420,semiconductor,235480.84,838,2026-04-19
068270,internet,780126.31,521,2026-01-12
068270,biotech,956232.15,382,2026-02-03
068270,semiconductor,955418.25,358,2026-01-14
005930,internet,965438.98,125,2026-03-21
068270,internet,305051.11,332,2026-04-18
005930,biotech,939347.04,579,2026-03-08
000660,biotech,634256.87,863,2026-03-02
035420,internet,330526.06,995,2026-01-08
005930,semiconductor,717359.88,185,2026-03-10
035420,biotech,819607.72,930,2026-04-13
068270,biotech,54925.62,45,2026-01-20
005930,biotech,806003.04,981,2026-03-23
035420,biotech,139282.84,736,2026-03-22
035420,semiconductor,197289.54,199,2026-01-22
000660,biotech,78975.24,701,2026-02-06
035420,biotech,560228.31,622,2026-01-08
005930,semiconductor,484401.9,783,2026-01-20
000660,internet,714536.6,945,2026-04-16
005930,biotech,540485.33,679,2026-03-17
068270,internet,461844.7,67,2026-03-26
005930,biotech,964515.99,800,2026-03-09
068270,semiconductor,105283.92,643,2026-01-15
000660,biotech,139179.63,610,2026-04-13
005930,semiconductor,957122.02,713,2026-03-05
000660,semiconductor,448620.06,85,2026-02-16
035420,semiconductor,164156.42,294,2026-02-28
005930,internet,88692.36,759,2026-02-20
005930,biotech,775196.2,350,2026-03-04
005930,biotech,462159.07,32,2026-02-10
000660,semiconductor,892346.37,189,2026-03-10
000660,internet,527979.45,778,2026-04-05
005930,internet,947039.02,997,2026-04-27
068270,biotech,594698.69,554,2026-01-19
035420,semiconductor,644642.69,586,2026-01-08
000660,internet,236001.58,406,2026-04-14
000660,semiconductor,139720.81,44,2026-03-17
000660,semiconductor,852631.55,611,2026-02-02
035420,semiconductor,521235.58,835,2026-01-18
005930,internet,883598.41,429,2026-01-21
005930,semiconductor,570573.29,878,2026-01-24
068270,internet,990979.88,557,2026-02-17
035420,internet,934219.46,46,2026-04-17
035420,semiconductor,752913.32,876,2026-01-17
005930,biotech,521733.13,738,2026-02-13
035420,internet,419741.59,405,2026-01-09
035420,semiconductor,353347.96,727,2026-03-20
035420,biotech,650245.35,894,2026-01-03
068270,semiconductor,576017.9,478,2026-04-21
035420,semiconductor,157791.37,702,2026-02-26
035420,biotech,572052.44,142,2026-03-23
005930,internet,720539.91,760,2026-04-09
000660,biotech,637307.16,262,2026-02-07
000660,semiconductor,261447.6,402,2026-02-27
000660,biotech,127281.34,174,2026-02-19
068270,semiconductor,402110.04,509,2026-01-07
005930,semiconductor,765709.28,79,2026-04-19
005930,biotech,719830.15,723,2026-02-19
035420,biotech,517993.85,662,2026-02-28
000660,biotech,753925.17,465,2026-01-09
035420,semiconductor,696987.46,357,2026-02-25
035420,semiconductor,128746.76,938,2026-02-21
000660,biotech,61546.75,681,2026-01-15
005930,biotech,928411.16,773,2026-01-04
035420,internet,970837.41,411,2026-03-09
005930,biotech,329769.25,522,2026-01-22
000660,internet,906100.11,962,2026-03-12
000660,biotech,482873.92,677,2026-01-08
000660,biotech,418854.96,325,2026-02-28
068270,semiconductor,975675.07,713,2026-03-22
035420,semiconductor,315775.33,733,2026-01-28
068270,semiconductor,176525.87,556,2026-01-06
000660,internet,739433.53,824,2026-01-02
000660,biotech,872760.7,886,2026-01-23
068270,semiconductor,788722.17,155,2026-04-15
005930,internet,614424.18,72,2026-01-22
035420,internet,590627.4,938,2026-02-09
035420,internet,309736.72,832,2026-02-28
005930,semiconductor,999731.79,879,2026-03-21
035420,semiconductor,739814.8,723,2026-02-19
005930,semiconductor,478016.93,887,2026-01-19
005930,semiconductor,246866.27,458,2026-01-08
068270,biotech,390254.58,81,2026-03-26
000660,biotech,502400.16,780,2026-03-18
068270,semiconductor,574311.5,398,2026-02-27
005930,semiconductor,177314.47,312,2026-03-15
005930,semiconductor,657393.29,84,2026-03-07
000660,biotech,383058.18,107,2026-02-15
035420,internet,908950.76,317,2026-01-06
005930,internet,426715.64,768,2026-02-19
005930,semiconductor,806648.19,147,2026-04-17
000660,semiconductor,295332.17,993,2026-01-02
000660,semiconductor,380042.74,135,2026-03-11
068270,internet,122070.16,770,2026-03-23
068270,internet,430285.46,921,2026-04-04
068270,semiconductor,901948.99,204,2026-03-18
005930,biotech,262656.61,798,2026-01-18
068270,biotech,218159.96,414,2026-02-01
005930,semiconductor,388191.91,55,2026-02-17
000660,biotech,705875.09,82,2026-02-25
035420,semiconductor,703395.48,65,2026-02-11
035420,semiconductor,52465.27,813,2026-01-08
005930,internet,225294.97,728,2026-03-24
000660,biotech,637342.03,992,2026-02-24
000660,semiconductor,109224.29,708,2026-04-19
035420,internet,900446.5,759,2026-03-15
068270,semiconductor,873854.23,815,2026-03-19
035420,semiconductor,750534.95,37,2026-02-07
005930,semiconductor,250875.61,483,2026-02-12
005930,semiconductor,375780.52,34,2026-04-10
035420,semiconductor,523520.09,120,2026-04-15
000660,biotech,579855.15,945,2026-01-12
035420,biotech,319587.11,527,2026-04-26
068270,biotech,282135.5,324,2026-01-06
005930,semiconductor,275365.45,671,2026-01-06
000660,internet,513419.31,359,2026-03-24
035420,semiconductor,126222.06,252,2026-03-08
005930,internet,901779.75,477,2026-04-11
068270,internet,826218.47,890,2026-02-24
000660,internet,829818.4,203,2026-03-11
068270,biotech,315980.14,309,2026-01-06
000660,biotech,725404.85,733,2026-01-20
005930,internet,721868.59,663,2026-04-06
005930,biotech,196644.58,877,2026-01-11
035420,semiconductor,400768.96,19,2026-01-23
000660,biotech,356236.15,651,2026-04-01
035420,semiconductor,52575.35,786,2026-03-15
068270,biotech,441248.87,615,2026-03-17
005930,biotech,758675.8,955,2026-02-21
068270,internet,941423.43,597,2026-03-03
005930,biotech,95689.91,358,2026-04-11
005930,semiconductor,241545.95,807,2026-03-21
